Time,Frequency,V1,V12,V2,V23,V3,V31,I1,I2,I3,L1,L2,L3,Ln,R1,R2,R3,KA,KA1,KA2,KA3,KT,KT1,KT2,KT3,KV,KV1,KV2,KV3,A12,A23,A31,Q1,Q2,Q3,THDC1,THDC2,THDC3,THDP1,THDP2,THDP3,THDV1,THDV2,THDV3
1-02-22pm,50.083,245.9182,427.004,246.5508,425.3637,244.8076,424.6344,0.070662,0.061775,0.059764,0.07126299999999999,0.062359,0.009608,0.0,-0.009234,-0.008518,-0.008777,0.047686,0.017523999999999998,0.015373999999999999,0.014787,0.047270000000000006,0.017387,0.015243999999999999,0.014639,-0.006520000000000001,-0.0022700000000000003,-0.0021000000000000003,-0.0021479999999999997,120.4504,119.7143,119.8407,-0.991,-0.99,-0.989,2.51,2.08,3.39,4.28,3.44,0.05,0.011892,28.0,2.04
1-02-28pm,50.077,246.3695,427.1407,246.5428,425.2064,244.6999,425.2052,0.070755,0.061743,0.059770000000000004,0.071352,0.062325,0.009724,0.0,-0.009211,-0.008498,-0.008786,0.047717999999999997,0.017575,0.015358,0.014785999999999999,0.047302,0.017438,0.015227,0.014636,7.293059000000001e-32,-0.0022689999999999997,-0.002094,-0.00215,120.3241,119.7143,119.967,-0.991,-0.99,-0.989,2.45,1.98,3.41,4.15,3.3,0.05,0.011892,28.0,2.04
1-02-34pm,50.076,245.7355,425.5296,246.118,425.6995,245.1729,425.3368,0.07060799999999999,0.061675,0.059821,0.071202,0.062256,0.009796,0.0,-0.00918,-0.008489,-0.008792,0.047642,0.017497,0.015321999999999999,0.014823999999999999,0.047228,0.017360999999999998,0.015191999999999999,0.014674,7.293006e-32,-0.002255,-0.0020889999999999997,-0.002155,120.011,119.9011,120.0934,-0.991,-0.99,-0.989,2.42,1.98,3.5,4.18,3.34,0.05,0.011892,28.0,2.07
1-02-41pm,50.071,245.7643,425.3819,246.215,426.3791,245.5778,425.7224,0.070628,0.061723999999999994,0.05985000000000001,0.071223,0.062306,0.009895,0.0,-0.009181,-0.008492,-0.008805,0.047699,0.017504,0.015340000000000001,0.014856,0.047284,0.017367999999999998,0.015210000000000001,0.014705,-0.00651,-0.0022559999999999998,-0.002091,-0.002162,119.8901,120.0165,120.0989,-0.991,-0.99,-0.989,2.41,1.96,3.48,4.15,3.27,0.05,0.011892,28.0,2.04
1-02-50pm,50.072,245.7318,426.2151,246.4042,425.7644,245.1102,424.9691,0.070577,0.061695,0.059801999999999994,0.07117699999999999,0.062272999999999995,0.009627,0.0,-0.009219,-0.008464,-0.008801999999999999,0.04769,0.017513,0.015364,0.014813,0.047274,0.017374999999999998,0.015234999999999999,0.014664,-0.006508,-0.002273,-0.0020829999999999998,-0.00215,120.2032,119.8791,119.9231,-0.991,-0.99,-0.989,2.45,1.97,3.46,4.22,3.27,0.05,0.011892,28.0,2.01
1-02-56pm,50.076,245.6159,426.6753,247.0451,426.5254,245.0324,424.5238,0.070604,0.06185,0.059770000000000004,0.071199,0.062432999999999995,0.00974,0.0,-0.009186,-0.008512,-0.008817,0.047714,0.017487,0.015423,0.014804,0.047297,0.017351,0.015293,0.014653,-0.006519,-0.0022559999999999998,-0.0021019999999999997,-0.00216,120.2142,119.967,119.8242,-0.991,-0.99,-0.989,2.43,1.98,3.42,4.22,3.32,0.05,0.011892,28.0,1.98
1-03-03pm,50.073,245.5473,425.9183,246.3297,426.1465,245.7402,425.5258,0.07055,0.061758999999999994,0.059912,0.071144,0.062334999999999995,0.009443,0.0,-0.009178,-0.008454,-0.008846999999999999,0.047705,0.017469,0.015354999999999999,0.014882,0.047289,0.017332999999999998,0.015224999999999999,0.014730000000000002,-0.00651,-0.002253,-0.002082,-0.0021739999999999997,120.1813,119.7913,120.033,-0.991,-0.99,-0.989,2.39,1.99,3.45,4.05,3.32,0.05,0.011892,28.0,2.0
1-03-10pm,50.07,245.9218,426.6453,246.6821,425.7891,245.0461,425.2139,0.07063000000000001,0.061807999999999995,0.059760999999999995,0.07122099999999999,0.062389,0.009616,0.0,-0.009160000000000001,-0.008492999999999999,-0.008824,0.047707,0.017515,0.015390000000000001,0.014803,0.047291,0.017379,0.015260000000000001,0.014650999999999999,-0.00651,-0.002252,-0.002095,-0.002162,120.2307,119.7638,120.011,-0.991,-0.99,-0.989,2.42,1.98,3.37,4.15,3.2800000000000002,0.05,0.011892,28.0,2.0
1-03-17pm,50.069,245.8433,427.9501,247.433,425.6422,244.3365,423.9956,0.07067000000000001,0.061898999999999996,0.059683,0.07126299999999999,0.062483,0.009566,0.0,-0.009179,-0.008527,-0.008775999999999999,0.047717999999999997,0.017519,0.015460000000000002,0.014738999999999999,0.047304,0.017383,0.015328999999999999,0.01459,-0.006510999999999999,-0.0022559999999999998,-0.0021089999999999998,-0.002144,120.5603,119.6814,119.7638,-0.991,-0.99,-0.989,2.49,1.98,3.36,4.17,3.38,0.05,0.011892,28.0,2.0
1-03-24pm,50.073,245.8919,428.9538,247.6728,424.405,243.079,422.5547,0.070703,0.061932999999999995,0.059518999999999996,0.07130199999999999,0.062516,0.009505999999999999,0.0,-0.00922,-0.008513999999999999,-0.008690000000000002,0.047636,0.017532,0.015482999999999998,0.014620999999999999,0.047222,0.017394,0.015352,0.014475,-0.006488,-0.002267,-0.002108,-0.0021119999999999997,120.9174,119.5111,119.577,-0.991,-0.99,-0.989,2.46,1.9,3.25,4.25,3.27,0.05,0.011892,28.0,1.9300000000000002
1-03-30pm,50.08,245.9046,428.2968,247.3198,424.5365,243.3799,423.0106,0.070631,0.061843999999999996,0.059557,0.071225,0.062423,0.009498999999999999,0.0,-0.009177,-0.008485999999999999,-0.008739,0.047602,0.017514,0.015437999999999999,0.014650000000000002,0.047188,0.017377,0.015307999999999999,0.014502,-0.006482,-0.0022559999999999998,-0.002098,-0.002127,120.7471,119.599,119.6594,-0.991,-0.99,-0.989,2.37,1.9,3.33,4.28,3.2800000000000002,0.05,0.011892,28.0,1.97
1-03-36pm,50.088,246.0021,427.9801,247.2216,425.2256,244.1158,423.909,0.070656,0.061855999999999994,0.059621,0.071251,0.062443,0.009592999999999999,0.0,-0.009183,-0.00854,-0.008775999999999999,0.047674999999999995,0.017527,0.015437,0.014711,0.047254,0.017390000000000003,0.015302,0.014561,7.293059000000001e-32,-0.0022589999999999997,-0.002111,-0.002142,120.5988,119.6594,119.7473,-0.991,-0.99,-0.989,2.14,1.81,3.27,3.73,3.14,0.05,0.011892,28.0,1.9100000000000001
1-03-43pm,50.093,246.0198,428.4204,247.7182,426.0466,244.0306,423.3924,0.07069199999999999,0.061918999999999995,0.059668,0.07129,0.062501,0.009731,0.0,-0.009210000000000001,-0.008508,-0.008747,0.047736999999999995,0.017537999999999998,0.015482,0.014716,0.047320999999999995,0.017401,0.015351,0.014568,-0.006508,-0.002266,-0.002107,-0.002134,120.5933,119.8791,119.5331,-0.991,-0.99,-0.989,2.39,1.88,3.33,4.17,3.21,0.05,0.011892,28.0,1.97
1-03-56pm,50.096,245.881,426.914,247.3358,426.9953,245.3566,425.3386,0.070633,0.061905999999999996,0.059844999999999995,0.071228,0.062486999999999994,0.009694999999999999,0.0,-0.009188,-0.008498,-0.008827,0.047810000000000005,0.017513,0.015455,0.014842,0.047392,0.017377,0.015323999999999999,0.014690000000000002,-0.006527,-0.0022589999999999997,-0.0021019999999999997,-0.002165,120.1044,119.9396,119.9615,-0.991,-0.99,-0.989,2.35,1.94,3.33,4.13,3.14,0.05,0.011892,28.0,1.97
1-04-04pm,50.097,246.1478,426.9234,247.0348,427.5192,246.2634,426.3154,0.07065,0.061847,0.060004999999999996,0.07124799999999999,0.062423,0.009596,0.0,-0.009212,-0.008463,-0.008832,0.047893,0.017537,0.015420000000000001,0.014936,0.047474999999999996,0.017400000000000002,0.015290999999999999,0.014783999999999999,-0.006533,-0.002267,-0.0020900000000000003,-0.002175,120.1263,119.9341,119.9451,-0.991,-0.99,-0.989,2.38,1.87,3.42,4.21,3.25,0.05,0.011892,28.0,1.97
